# Version V0.35.0
Chr Position PPL BayesRatio MOD Alpha DGF LC0PV(DD,Dd,dD, dd) MarkerList(0,1)
15 0.000000 0.016 7.330758e-01 -0.134851 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 1.000000 0.015 7.231697e-01 -0.140760 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 2.000000 0.015 7.129461e-01 -0.146943 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 3.000000 0.015 7.023999e-01 -0.153416 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 4.000000 0.015 6.915260e-01 -0.160191 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 5.000000 0.015 6.803201e-01 -0.167287 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 6.000000 0.015 6.687783e-01 -0.174718 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 7.000000 0.014 6.568976e-01 -0.182502 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 8.000000 0.014 6.446755e-01 -0.190659 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 9.000000 0.014 6.321103e-01 -0.199207 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 10.000000 0.014 6.192016e-01 -0.208168 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 11.000000 0.013 6.059497e-01 -0.217563 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 12.000000 0.013 5.923561e-01 -0.227417 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 13.000000 0.013 5.784237e-01 -0.237754 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 14.000000 0.013 5.641567e-01 -0.248600 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 15.000000 0.012 5.495610e-01 -0.259984 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 16.000000 0.012 5.346438e-01 -0.271935 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 17.000000 0.012 5.194146e-01 -0.284486 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 18.000000 0.012 5.038843e-01 -0.297669 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 19.000000 0.011 4.880664e-01 -0.311521 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 20.000000 0.011 4.719762e-01 -0.326080 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
