# 1  Loci_20 Loci_12 
     Theta(M, F)  COUNT   AVG_LR MAX_HLOD     R2 ALPHA    DGF     MF PEN_DD PEN_Dd PEN_dd 
(0.0000, 0.0000)  21560   3.5625   2.6066 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.0100, 0.0100)  21560   3.4147   2.5520 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.0200, 0.0200)  21560   3.2734   2.4968 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.0300, 0.0300)  21560   3.1386   2.4411 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.0400, 0.0400)  21560   3.0101   2.3847 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.0500, 0.0500)  21560   2.8876   2.3278 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.0600, 0.0600)  21560   2.7709   2.2704 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.0700, 0.0700)  21560   2.6599   2.2124 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.0800, 0.0800)  21560   2.5544   2.1538 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.0900, 0.0900)  21560   2.4540   2.0947 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.1000, 0.1000)  21560   2.3587   2.0350 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.1100, 0.1100)  21560   2.2682   1.9749 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.1200, 0.1200)  21560   2.1824   1.9142 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.1300, 0.1300)  21560   2.1011   1.8531 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.1400, 0.1400)  21560   2.0240   1.7915 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.1500, 0.1500)  21560   1.9511   1.7295 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.1600, 0.1600)  21560   1.8821   1.6671 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.1700, 0.1700)  21560   1.8169   1.6042 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.1800, 0.1800)  21560   1.7554   1.5411 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.1900, 0.1900)  21560   1.6973   1.4776 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.2000, 0.2000)  21560   1.6426   1.4139 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.2100, 0.2100)  21560   1.5910   1.3500 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.2200, 0.2200)  21560   1.5425   1.2859 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.2300, 0.2300)  21560   1.4969   1.2217 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.2400, 0.2400)  21560   1.4540   1.1576 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.2500, 0.2500)  21560   1.4138   1.0935 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.2600, 0.2600)  21560   1.3761   1.0296 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.2700, 0.2700)  21560   1.3408   0.9659 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.2800, 0.2800)  21560   1.3078   0.9026 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.2900, 0.2900)  21560   1.2770   0.8398 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.3000, 0.3000)  21560   1.2483   0.7777 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.3100, 0.3100)  21560   1.2216   0.7164 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.3200, 0.3200)  21560   1.1967   0.6560 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.3300, 0.3300)  21560   1.1737   0.5968 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.3400, 0.3400)  21560   1.1523   0.5389 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.3500, 0.3500)  21560   1.1327   0.4826 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.3600, 0.3600)  21560   1.1146   0.4281 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.3700, 0.3700)  21560   1.0980   0.3756 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.3800, 0.3800)  21560   1.0829   0.3254 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.3900, 0.3900)  21560   1.0692   0.2778 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.4000, 0.4000)  21560   1.0568   0.2330 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.4100, 0.4100)  21560   1.0458   0.1914 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.4200, 0.4200)  21560   1.0360   0.1531 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.4300, 0.4300)  21560   1.0274   0.1186 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.4400, 0.4400)  21560   1.0201   0.0880 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.4500, 0.4500)  21560   1.0139   0.0617 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.4600, 0.4600)  21560   1.0089   0.0398 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.4700, 0.4700)  21560   1.0050   0.0225 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.4800, 0.4800)  21560   1.0022   0.0100 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.4900, 0.4900)  21560   1.0006   0.0025 0.0000  1.00 0.9900 0.7024  3.000 -1.000 -1.000  0.707 0.707 0.707  0.000 
(0.5000, 0.5000)  21560   1.0000   0.0000 0.0000  0.05 0.0100 0.7024  -2.000 -3.000 -3.000  0.707 0.707 0.707  0.000 
# 2  Loci_20 Loci_13 
     Theta(M, F)  COUNT   AVG_LR MAX_HLOD     R2 ALPHA    DGF     MF PEN_DD PEN_Dd PEN_dd 
(0.0000, 0.0000)  21560   0.5262   0.3232 0.0000  0.55 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.0100, 0.0100)  21560   0.5392   0.3253 0.0000  0.55 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.0200, 0.0200)  21560   0.5524   0.3280 0.0000  0.60 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.0300, 0.0300)  21560   0.5657   0.3297 0.0000  0.60 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.0400, 0.0400)  21560   0.5793   0.3319 0.0000  0.65 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.0500, 0.0500)  21560   0.5931   0.3330 0.0000  0.70 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.0600, 0.0600)  21560   0.6070   0.3349 0.0000  0.70 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.0700, 0.0700)  21560   0.6210   0.3360 0.0000  0.75 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.0800, 0.0800)  21560   0.6352   0.3367 0.0000  0.75 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.0900, 0.0900)  21560   0.6495   0.3378 0.0000  0.80 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1000, 0.1000)  21560   0.6639   0.3385 0.0000  0.85 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1100, 0.1100)  21560   0.6783   0.3390 0.0000  0.90 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1200, 0.1200)  21560   0.6927   0.3393 0.0000  0.95 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1300, 0.1300)  21560   0.7070   0.3395 0.0000  1.00 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1400, 0.1400)  21560   0.7213   0.3389 0.0000  1.00 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1500, 0.1500)  21560   0.7355   0.3362 0.0000  1.00 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1600, 0.1600)  21560   0.7496   0.3318 0.0000  1.00 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1700, 0.1700)  21560   0.7634   0.3259 0.0000  1.00 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1800, 0.1800)  21560   0.7771   0.3187 0.0000  1.00 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1900, 0.1900)  21560   0.7905   0.3291 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2000, 0.2000)  21560   0.8036   0.3412 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2100, 0.2100)  21560   0.8164   0.3494 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2200, 0.2200)  21560   0.8289   0.3540 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2300, 0.2300)  21560   0.8410   0.3555 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2400, 0.2400)  21560   0.8528   0.3539 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2500, 0.2500)  21560   0.8641   0.3495 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2600, 0.2600)  21560   0.8750   0.3427 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2700, 0.2700)  21560   0.8855   0.3335 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2800, 0.2800)  21560   0.8955   0.3223 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2900, 0.2900)  21560   0.9051   0.3092 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.3000, 0.3000)  21560   0.9142   0.2945 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.3100, 0.3100)  21560   0.9228   0.2784 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.3200, 0.3200)  21560   0.9309   0.2611 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.3300, 0.3300)  21560   0.9386   0.2429 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
