# Version V0.35.0
Chr Position PPL BayesRatio MOD Alpha DGF LC0PV(DD,Dd,dD, dd) MarkerList(0,1)
15 0.000000 0.016 7.432582e-01 -0.128860 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 1.000000 0.016 7.342694e-01 -0.134145 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 2.000000 0.016 7.249791e-01 -0.139674 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 3.000000 0.015 7.153801e-01 -0.145463 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 4.000000 0.015 7.054651e-01 -0.151524 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 5.000000 0.015 6.952274e-01 -0.157873 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 6.000000 0.015 6.846604e-01 -0.164525 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 7.000000 0.015 6.737579e-01 -0.171496 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 8.000000 0.014 6.625141e-01 -0.178805 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 9.000000 0.014 6.509241e-01 -0.186470 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 10.000000 0.014 6.389831e-01 -0.194511 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 11.000000 0.014 6.266875e-01 -0.202949 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 12.000000 0.014 6.140343e-01 -0.211807 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 13.000000 0.013 6.010215e-01 -0.221110 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 14.000000 0.013 5.876484e-01 -0.230882 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 15.000000 0.013 5.739153e-01 -0.241152 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 16.000000 0.013 5.598240e-01 -0.251948 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 17.000000 0.012 5.453779e-01 -0.263302 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 18.000000 0.012 5.305822e-01 -0.275247 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 19.000000 0.012 5.154439e-01 -0.287819 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
15 20.000000 0.012 4.999721e-01 -0.301054 1.000000 0.100000 (0.900,0.600,0.800,0.000) (1,2)
