CHR MARKER POSITION
40 mrk1 0.500
40 mrk2 5.500
40 mrk3 10.500
40 mrk4 15.500
40 mrk5 20.500
40 mrk6 25.500
40 mrk7 30.500
40 mrk8 35.500
40 mrk9 40.500
40 mrk10 45.500
40 mrk11 50.500
40 mrk12 55.500
40 mrk13 60.500
40 mrk14 65.500
40 mrk15 70.500
40 mrk16 75.500
40 mrk17 80.500
40 mrk18 85.500
40 mrk19 90.500
40 mrk20 95.500
40 mrk21 100.500
40 mrk22 105.500
40 mrk23 110.500
40 mrk24 115.500
40 mrk25 120.500
40 mrk26 125.500
40 mrk27 130.500
40 mrk28 135.500
40 mrk29 140.500
40 mrk30 145.500
40 mrk31 150.500
40 mrk32 155.500
40 mrk33 160.500
40 mrk34 165.500
40 mrk35 170.500
40 mrk36 175.500
40 mrk37 180.500
40 mrk38 185.500
40 mrk39 190.500
40 mrk40 195.500
40 mrk41 200.500
40 mrk42 205.500
40 mrk43 210.500
40 mrk44 215.500
40 mrk45 220.500
40 mrk46 225.500
40 mrk47 230.500
40 mrk48 235.500
40 mrk49 240.500
40 mrk50 245.500
40 mrk51 250.500
40 mrk52 255.500
40 mrk53 260.500
40 mrk54 265.500
40 mrk55 270.500
40 mrk56 275.500
40 mrk57 280.500
40 mrk58 285.500
40 mrk59 290.500
40 mrk60 295.500
